,A,,,B,,,C,,,D,,,E,,,F,,,G,,,H,,,I,,,J,,,K,,,L,,,M,,,N,,,O,,,P,,,Q,,,R,,,S,,,T,,,
A,C,C,C,C,I,C,C,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,,,,C,C,C,C,C,C,C,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
C,,,,,,,C,C,C,C,I,C,C,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
D,,,,,,,,,,C,C,C,C,C,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,,,,,,,,,,,,,C,C,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
F,,,,,,,,,,,,,,,,C,C,C,I,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,C,I,C,I,I,I,I,I,I,I,I,I,I,I,I
G,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,I,C,C,I,C,C,I,C,C,I,C,I,I,I,I,I,C,I,I,C,I,I,C,I,I,C,C,I,C,I,I,C,I,I,C
H,,,,,,,,,,,,,,,,,,,,,,C,C,C,I,I,I,I,I,C,I,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,C,C,C,I,C,C,C,C,I,I,I,I,I,I
I,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,I,I,I,I,I,I,I,I,I,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,I,C,I,I,C,I,I,I,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C
K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,I,I,I,I,I,I,I,I,I,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C
L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,I,C,C,I,C,C,I,C,I,I,C,C,I,C,I,I,C,I,I,C
N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,I,I,C,C,I,C,I,I,C,C,I,C,I,I,C,I,I,C
O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,I,C,C,I,C,C,I,C,C,I,C,C,I,C
P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,I,C,C,I,C,C,I,C,C,I,C
Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,I,C,C,I,C,C,I,C
R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,I,C
S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C
